"id","edad","nivel","experiencia","female","treatment","politica","raw_repetition_rate","relative_harshness","stage","cutoff_age","years_from_cutoff","bologna_cohort","cutoff_side"
"R_2ffSvvjZkPJLFd6",50,"E. Primaria",22,"1","3","3",0.5,0.0449085667889326,"Primary teachers",34,16,"Pre-Bologna training","Older side"
"R_8I4XY6JdmT5CQjG",50,"E. Secundaria",14,"1","3","1",0.5,-0.0594898753578292,"Secondary teachers",39,11,"Pre-Bologna training","Older side"
"R_2VAST5eTXYxxOZX",56,"E. Secundaria",4,"0","8","3",0.555555555555556,0.0314971073127088,"Secondary teachers",39,17,"Pre-Bologna training","Older side"
"R_2VjXKsnQXsgkzL3",50,"E. Primaria",25,"1","6","2",0.333333333333333,-0.0882231831597806,"Primary teachers",34,16,"Pre-Bologna training","Older side"
"R_20X6rodTPoAA18Z",39,"E. Primaria",18,"1","6","2",0.555555555555556,0.0215024239135477,"Primary teachers",34,5,"Pre-Bologna training","Older side"
"R_8ijKjkGWjQxfoHX",32,"E. Primaria",2,"1","9","2",0.666666666666667,0.228765714350849,"Primary teachers",34,-2,"Bologna-era training","Younger side"
"R_8aJ23XWORyy40VD",50,"E. Primaria",25,"1","6","1",0.444444444444444,-0.0684619480700268,"Primary teachers",34,16,"Pre-Bologna training","Older side"
"R_2hq1jsdawESPv9v",56,"E. Secundaria",32,"0","4","3",0.444444444444444,-0.0617848690777509,"Secondary teachers",39,17,"Pre-Bologna training","Older side"
"R_8SWd3p5oSEYwj8l",46,"E. Primaria",24,"1","8","2",0.666666666666667,0.246149660180454,"Primary teachers",34,12,"Pre-Bologna training","Older side"
"R_8lzqxKJUQUDKBwZ",49,"E. Secundaria",6,"0","5","2",0.6,0.114884142244391,"Secondary teachers",39,10,"Pre-Bologna training","Older side"
"R_8gdrhhuleMX4Rto",49,"E. Primaria",22,"1","10","3",0.25,-0.106567372390571,"Primary teachers",34,15,"Pre-Bologna training","Older side"
