"stage","edad","cutoff_age","n_teachers","se_raw","se_harshness","raw_repetition_rate","relative_harshness","raw_repetition_rate_pp","relative_harshness_pp","raw_low","raw_high","harshness_low","harshness_high"
"Secondary teachers",51,39,47,0.0317763657230221,0.0284054465499146,0.468887200270179,0.00338277412203696,46.8887200270179,0.338277412203696,40.6605523453056,53.1168877087302,-5.22919011157957,5.90574493598697
"Secondary teachers",52,39,55,0.0324764846713122,0.0271777429097317,0.481565656565657,-0.0186258031908363,48.1565656565657,-1.86258031908363,41.7911746609885,54.5219566521428,-7.18941792939105,3.46425729122378
"Secondary teachers",53,39,40,0.0353095771988413,0.0331251679718728,0.495188492063492,0.0103987419887895,49.5188492063492,1.03987419887895,42.5981720753763,56.4395263373221,-5.45265872360812,7.53240712136603
"Secondary teachers",54,39,35,0.0318186028592345,0.0396432787381238,0.483333333333333,-0.00795359673864819,48.3333333333333,-0.795359673864819,42.0968871729234,54.5697794937433,-8.56544230653708,6.97472295880744
"Secondary teachers",55,39,49,0.0333840119909913,0.0324801735178095,0.485665694849368,-0.00393351205187265,48.5665694849368,-0.393351205187265,42.0233031347025,55.1098358351711,-6.75946521467793,5.9727628043034
"Secondary teachers",56,39,46,0.0404349186435514,0.048254506983947,0.472782953761215,-0.0381498143046989,47.2782953761215,-3.81498143046989,39.3530513219854,55.2035394302575,-13.2728647993235,5.64290193838371
"Secondary teachers",57,39,42,0.0335736720147493,0.0379738446742031,0.428996598639456,-0.0500135763004461,42.8996598639456,-5.00135763004461,36.3192201490547,49.4800995788364,-12.4442311861884,2.4415159260992
"Secondary teachers",58,39,33,0.0485459319322481,0.041865282064496,0.490740740740741,-0.013696627845462,49.0740740740741,-1.3696627845462,39.5590714153534,58.5890767327947,-9.57525806918741,6.83593250009501
"Secondary teachers",59,39,28,0.0415146052298853,0.0371794302636365,0.435515873015873,-0.0327092502131864,43.5515873015873,-3.27092502131864,35.4147246765298,51.6884499266448,-10.5580933529914,4.01624331035412
"Secondary teachers",60,39,15,0.0647012015796357,0.0515817239808343,0.569047619047619,0.0709848292729007,56.9047619047619,7.09848292729007,44.2233263951533,69.5861974143705,-3.01153497295344,17.2085008275336
"Secondary teachers",61,39,11,0.107738111847227,0.0634830946626295,0.521825396825397,-0.0575010079558081,52.1825396825397,-5.75010079558081,31.0658697604833,73.2992096045961,-18.1927873494562,6.69258575829456
"Secondary teachers",62,39,8,0.0943451859362598,0.0849065816999386,0.458333333333333,-0.0186002253162309,45.8333333333333,-1.86002253162309,27.3416768898264,64.3249897768403,-18.501712544811,14.7816674815649
