"hypothesis","estimate","std_error","p_value","ci_low","ci_high","mde_80","equiv_margin","p_lower","p_upper","tost_p","equivalent"
"H3|2: Awareness vs Revelation: Policy 1",0.013862711208879,0.0173039840703237,0.423182013335683,-0.0200793779252308,0.0478048003429888,0.0485095638381667,0.05,0.000111906237887319,0.0183830607849924,0.0183830607849924,TRUE
"H3|2: Awareness vs Revelation: Policy 2",0.00407299308766503,0.0171159557785406,0.811940407743823,-0.0295002750273373,0.0376462612026674,0.0479824499442469,0.02,0.0797945960593156,0.176048032448938,0.176048032448938,FALSE
"H3|2: Awareness vs Revelation: Policy 2",0.00407299308766503,0.0171159557785406,0.811940407743823,-0.0295002750273373,0.0376462612026674,0.0479824499442469,0.03,0.0232574626176679,0.0649149080580212,0.0649149080580212,FALSE
"H3|2: Awareness vs Revelation: Policy 2",0.00407299308766503,0.0171159557785406,0.811940407743823,-0.0295002750273373,0.0376462612026674,0.0479824499442469,0.05,0.000791207707027908,0.00364572889272524,0.00364572889272524,TRUE
"H3|2: Awareness vs Revelation: Policy 3",0.0138559210460697,0.0171253299714719,0.418589834260271,-0.0197357347240959,0.0474475768162354,0.0480087293264162,0.02,0.0240250124446982,0.359883426021933,0.359883426021933,FALSE
"H3|2: Awareness vs Revelation: Policy 3",0.0138559210460697,0.0171253299714719,0.418589834260271,-0.0197357347240959,0.0474475768162354,0.0480087293264162,0.03,0.00522109242200773,0.172917871416572,0.172917871416572,FALSE
"H3|2: Awareness vs Revelation: Policy 3",0.0138559210460697,0.0171253299714719,0.418589834260271,-0.0197357347240959,0.0474475768162354,0.0480087293264162,0.05,9.62724318355103e-05,0.0174062056206161,0.0174062056206161,TRUE
"H3|3: favorite assigned, Awareness vs Revelation",-0.022487430722706,0.0160901263469142,0.162802192580269,-0.0540934317868086,0.00911857034139672,0.0451583740246372,0.02,0.561428990180248,0.00413873013305024,0.561428990180248,FALSE
"H3|3: favorite assigned, Awareness vs Revelation",-0.022487430722706,0.0160901263469142,0.162802192580269,-0.0540934317868086,0.00911857034139672,0.0451583740246372,0.03,0.320284236098583,0.000553156496775122,0.320284236098583,FALSE
"H3|3: favorite assigned, Awareness vs Revelation",-0.022487430722706,0.0160901263469142,0.162802192580269,-0.0540934317868086,0.00911857034139672,0.0451583740246372,0.05,0.043643376623606,3.32102489309988e-06,0.043643376623606,TRUE
"H3|3: least favorite assigned, Awareness vs Revelation",0.00136015537300047,0.0176052088963517,0.938449097666358,-0.0332303394937763,0.0359506502397772,0.0494202589586971,0.02,0.112511659173463,0.144853838163839,0.144853838163839,FALSE
"H3|3: least favorite assigned, Awareness vs Revelation",0.00136015537300047,0.0176052088963517,0.938449097666358,-0.0332303394937763,0.0359506502397772,0.0494202589586971,0.03,0.0374332593840997,0.0518932319178304,0.0518932319178304,FALSE
"H3|3: least favorite assigned, Awareness vs Revelation",0.00136015537300047,0.0176052088963517,0.938449097666358,-0.0332303394937763,0.0359506502397772,0.0494202589586971,0.05,0.0017656184743126,0.00286583044984777,0.00286583044984777,TRUE
